return_id,election_id,name_on_return,party,member_id,unopposed,votes,winner
28895,14487,Mr Edward Lascelles,,973,1,,1
28905,14493,Mr Spencer Perceval,,975,1,,1
28906,14493,Mr Edward Bouverie,,974,1,,1
27667,13838,Mr Thomas Onslow,,822,1,,1
27668,13838,Mr Chapple Norton,,823,1,,1
27352,13676,Mr John Bullock,,787,1,,1
27353,13676,Mr Eliab Harvey,,788,1,,1
27330,13654,Mr James Brodie,,784,1,,1
27681,13844,Mr Thomas Maitland,,824,1,,1
26484,13172,Mr Robert Adair,,683,1,,1
26485,13172,Mr John Fonblanque,,684,1,,1
28919,14501,Mr Francis Dickins,,976,1,,1
28920,14501,Mr William Ralph Cartwright,,977,1,,1
27697,13859,Sir William Heathcote,,827,1,,1
27698,13859,Mr William John Chute,,826,1,,1
29948,15048,Sir Gregory Page-Turner,,1108,1,,1
29949,15048,Mr William Frankland,,1109,1,,1
26516,13184,Lord William Stuart,,687,1,,1
28942,14513,Mr Robert Fellowes,,980,0,1632,1
28943,14513,Mr William Smith,,981,0,1439,1
28944,14513,Mr William Windham,,,0,1356,0
28945,14513,Mr John Frere,,,0,1328,0
28590,14314,Mr Denis Browne,,2230,1,,1
28591,14314,Mr Henry Augustus Dillon-Lee,,934,1,,1
29960,15055,Mr Francis James Mathew,,1479,1,,1
29961,15055,Mr John Bagwell,,721,1,,1
26523,13190,Mr John Vaughan,,688,1,,1
27712,13865,Mr John Robinson,,828,0,15,1
27713,13865,Mr Thomas Myers,,829,0,12,1
27714,13865,Mr James Adams,,1206,0,10,0
27728,13875,Mr Richard Penn,,831,1,,1
27729,13875,Mr George Wood,,830,1,,1
28958,14518,Sir John Borlase Warren,,982,0,987,1
28959,14518,Mr Joseph Birch,,983,0,928,1
28960,14518,Mr Daniel Parker Coke,,,0,636,0
26529,13195,Mr Thomas Johnes,,689,1,,1
26554,13213,Mr David Latouche,,694,0,524,1
26555,13213,Mr Walter Bagenal,,693,0,479,1
26556,13213,Mr William Henry Burton,,,0,437,0
26557,13213,Sir Richard Butler,,,0,426,0
26548,13207,Mr Charles Montagu Ormsby,,692,1,,1
26080,12951,Mr George Percy,,629,1,,1
26081,12951,Mr William Mitford,,628,1,,1
28471,14256,Mr Robert Clive,,919,1,,1
28472,14256,Mr Richard Payne Knight,,918,1,,1
26535,13201,Mr John Christian Curwen,,690,1,,1
26536,13201,Mr Walter Spencer Stanhope,,691,1,,1
29992,15072,Mr William Adams,,1112,1,,1
29993,15072,Mr John Berkeley Burland,,1113,1,,1
25998,12899,Sir Broderick Chinnery,,,1,,1
26577,13226,Mr James Hamlyn Williams,,696,0,1267,1
26578,13226,Sir William Paxton,,1192,0,1222,0
30007,15080,Mr George Canning,,1114,1,,1
28714,14381,Lord Charles Henry Somerset,,946,1,,1
26568,13219,Mr John George Philipps,,695,1,,1
26277,13055,Sir Charles Morgan,,655,1,,1
29007,14541,Mr Nicholas Vansittart,,989,1,,1
29008,14541,Mr Henry Alexander,,988,1,,1
27765,13897,Mr George Johnstone,,835,0,115,1
27766,13897,Mr Christopher Savile,,834,0,108,1
27767,13897,Mr Peter Everitt Mestaer,,,0,84,0
27768,13897,Mr Randle Jackson,,,0,77,0
27758,13891,Mr William Edwardes,,833,1,,1
26582,13230,Lord Spencer Stanley Chichester,,697,0,381,1
26583,13230,Mr Ezekiel Davys Wilson,,,0,270,0
29019,14548,Mr Robert Seymour,,990,1,,1
29020,14548,Mr James Trail,,991,1,,1
29265,14687,Mr William Wellesley-Pole,,1023,1,,1
29266,14687,Sir Eyre Coote,,1024,1,,1
29033,14557,Mr Robert Honyman,,992,1,,1
26603,13245,Mr Charles Bagot-Chester,,699,1,,1
26604,13245,Mr Peter Isaac Thellusson,,700,1,,1
29040,14562,Mr John Atkyns-Wright,,994,0,836,1
29041,14562,Mr Francis Burton,,993,0,812,1
29042,14562,Mr John Ingram Lockhart,,1590,0,454,0
26615,13252,Mr Francis Saunderson,,,1,,1
26616,13252,Mr Nathaniel Sneyd,,1409,1,,1
29055,14567,Sir William Dolben,,995,1,,1
29056,14567,Sir William Scott,,996,1,,1
26625,13257,Mr Thomas Cholmondeley,,701,1,,1
26626,13257,Mr William Egerton,,702,1,,1
26636,13263,"Mr Robert Grosvenor, Viscount Belgrave",,,1,,1
26637,13263,Mr Thomas Grosvenor,,703,1,,1
26663,13276,Mr James Dawkins,,707,0,108,1
26664,13276,Mr Charles Brooke,,708,0,59,1
26665,13276,Mr John Maitland,,,0,57,0
30082,15124,Mr Charles Mills,,1124,1,,1
30083,15124,Mr Henry Richard Greville,,1125,1,,1
26198,13012,Mr John Scott,,644,1,,1
26199,13012,Mr Edward Berkeley Portman,,645,1,,1
26651,13269,Mr Thomas Steele,,705,1,,1
26652,13269,Mr George White-Thomas,,706,1,,1
29067,14573,Lord Francis Almeric Spencer,,998,1,,1
29068,14573,Mr John Fane,,997,1,,1
29078,14579,Sir James Montgomery,,999,1,,1
28615,14325,Mr George Byng,,3096,0,3848,1
28616,14325,Sir Francis Burdett,,936,0,3207,1
28617,14325,Mr William Mainwaring,,,0,2936,0
30104,15136,Mr William Congreve Alcock,,1611,0,471,1
30105,15136,Sir Simon John Newport,,1127,0,440,0
30113,15143,Mr John Beresford,,1286,1,,1
30114,15143,Mr Edward Lee,,1128,1,,1
27851,13939,Mr John Hamilton Fitzmaurice,,845,1,,1
27852,13939,Baron Colchester (Charles Abbot),,1168,1,,1
